BCODE,Basin_Name,Continent_,Area_km2,Pop_2007,PopDen2007,Pop_2012,PopDen2012,Pop_2015,PopDen2015,Pop_2020,PopDen2020,Dams_Exist,Dam_Plnd,Dam_Plnd20,runoff,withdrawal,consumptio,HydroPolTe,NumberRipa,Riparian_C,Count_of_T,Count_of_R,Wetlands_k,Events__19,Paired_Int,EstDam24,Pop_2022,PopDen2022
ELNK,Elancik,EU,1380,57094,41,42206,31,40648,29,39315,28,0,0,0.000000000000000,0,0,0,3,2,"Ukraine, Russian Federation",2.000000000000000,0.000000000000000,11.064314866500000,1.000000000000000,1.000000000000000,0.000000000000000,27548.9003906,20
ERNE,Erne,EU,4438,131598,30,140121,32,116263,26,121234,27,1,0,0.000000000000000,650,110,20,3,2,"Ireland, U.K. of Great Britain and Northern Ireland",0.000000000000000,0.000000000000000,318.796206950999988,0.000000000000000,0.000000000000000,2.000000000000000,157173.0000000,35
ESQB,Essequibo,SA,157529,313164,2,353910,2,402968,3,368692,2,0,2,3.000000000000000,1010,120,20,4,2,"Guyana, Venezuela",0.000000000000000,0.000000000000000,1927.143681860000015,0.000000000000000,0.000000000000000,3.000000000000000,270019.0000000,2
ETOS,Cuvelai/Etosha,AF,173682,1591958,9,1689968,10,2181189,13,2273482,13,1,0,0.000000000000000,40,150,50,3,2,"Angola, Namibia",3.000000000000000,0.000000000000000,690.884263073000056,1.000000000000000,1.000000000000000,1.000000000000000,2102710.0000000,12
FANE,Fane,EU,341,16799,49,19496,57,17474,51,18191,53,0,0,0.000000000000000,510,40,10,3,2,"Ireland, U.K. of Great Britain and Northern Ireland",0.000000000000000,0.000000000000000,4.304836174600000,0.000000000000000,0.000000000000000,0.000000000000000,22494.6992188,66
FLRY,Flurry,EU,201,12237,61,12495,62,12403,62,13784,69,0,0,0.000000000000000,350,120,30,3,2,"Ireland, U.K. of Great Britain and Northern Ireland",0.000000000000000,0.000000000000000,4.701530238400000,0.000000000000000,0.000000000000000,0.000000000000000,16436.9003906,82
FLYX,Fly,AS,71446,240019,3,295009,4,698426,10,847253,12,0,0,0.000000000000000,2550,30,0,2,2,"Indonesia, Papua New Guinea",1.000000000000000,1.000000000000000,3515.983373389999997,1.000000000000000,1.000000000000000,0.000000000000000,572581.0000000,8
FNNY,Fenney,AS,3028,2244379,741,2188328,723,2178862,720,2287562,755,0,0,0.000000000000000,1150,230,80,2,2,"Bangladesh, India",1.000000000000000,1.000000000000000,18.773977758699999,11.000000000000000,11.000000000000000,0.000000000000000,1808990.0000000,597
FOYL,Foyle,EU,2923,178117,61,180800,62,147262,50,149548,51,0,0,0.000000000000000,630,100,20,3,2,"Ireland, U.K. of Great Britain and Northern Ireland",0.000000000000000,0.000000000000000,235.248987599999992,0.000000000000000,0.000000000000000,0.000000000000000,198272.0000000,68
FRSR,Fraser,NA,231593,1230174,5,1281678,6,1227317,5,1295928,6,10,0,1.000000000000000,540,1880,450,1,2,"Canada, United States of America",4.000000000000000,0.000000000000000,8553.776901240000370,0.000000000000000,0.000000000000000,10.000000000000000,1507080.0000000,7
FRTH,Firth,NA,6075,0,0,0,0,0,0,0,0,0,0,0.000000000000000,50,0,0,1,2,"Canada, United States of America",2.000000000000000,1.000000000000000,23.021583366800002,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000,0
GALG,Gallegos/Chico,SA,16807,97733,6,109170,6,33012,2,36135,2,0,0,0.000000000000000,300,10,0,3,2,"Argentina, Chile",3.000000000000000,0.000000000000000,113.981337052000001,0.000000000000000,0.000000000000000,0.000000000000000,162272.0000000,10
GAMB,Gambia,AF,77179,4502162,58,4841792,63,4605627,60,5221798,68,0,0,8.000000000000000,110,110,40,1,3,"Gambia, Guinea, Senegal",10.000000000000000,1.000000000000000,1510.882252169999902,9.000000000000000,38.000000000000000,0.000000000000000,4412650.0000000,57
GANG,Ganges-Brahmaputra-Meghna,AS,1661973,922287201,555,999232562,601,955717182,575,1020220830,614,82,274,330.000000000000000,860,500080,165390,3,8,"Arunachal Pradesh, Bangladesh, Bhutan, China, China/India, India, Myanmar, Nepal",35.000000000000000,2.000000000000000,27897.580595200000971,290.000000000000000,327.000000000000000,792.000000000000000,849305024.0000000,511
GASH,Gash,AF,23656,3664299,155,4563358,193,3200254,135,3640437,154,0,0,0.000000000000000,140,140,60,2,3,"Eritrea, Ethiopia, Sudan",2.000000000000000,0.000000000000000,5.300491235920000,0.000000000000000,0.000000000000000,3.000000000000000,2403110.0000000,102
GEBA,Geba-Corubal,AF,36629,1703300,47,1892784,52,1886164,51,2076658,57,0,0,11.000000000000000,560,30,10,2,3,"Guinea, Guinea-Bissau, Senegal",1.000000000000000,0.000000000000000,457.016648873000008,0.000000000000000,0.000000000000000,1.000000000000000,1533000.0000000,42
GJLV,Grijalva,NA,125675,10669357,85,11973873,95,12661846,101,13730715,109,6,0,4.000000000000000,1010,1190,310,4,3,"Belize, Guatemala, Mexico",2.000000000000000,2.000000000000000,4233.361468860000059,5.000000000000000,6.000000000000000,19.000000000000000,10539900.0000000,84
GLAM,Glama,EU,41375,485295,12,499396,12,489518,12,518005,13,6,0,0.000000000000000,570,1150,270,2,2,"Norway, Sweden",2.000000000000000,0.000000000000000,3696.031519629999821,0.000000000000000,0.000000000000000,16.000000000000000,821139.0000000,20
GLNA,Galana,AF,46663,10842707,232,11331714,243,11654730,250,12963565,278,0,0,1.000000000000000,null,null,null,N/A,2,"Kenya, United Republic of Tanzania",2.000000000000000,0.000000000000000,56.053028011499997,0.000000000000000,0.000000000000000,11.000000000000000,10656200.0000000,228
